space,case_index,canonical_key,step,credit_cross_entropy
level1_no_side_info,17,"[[0,0,1,0],[0,1,1,1],[0,0,1,0]]",2,0.2524638005059724
level1_no_side_info,17,"[[0,0,1,0],[0,1,1,1],[0,0,1,0]]",4,0.32818826165444615
level1_no_side_info,17,"[[0,0,1,0],[0,1,1,1],[0,0,1,0]]",8,0.39529450909261066
level1_no_side_info,17,"[[0,0,1,0],[0,1,1,1],[0,0,1,0]]",16,0.437889587382303
level1_no_side_info,17,"[[0,0,1,0],[0,1,1,1],[0,0,1,0]]",32,0.4591604014488582
level1_no_side_info,18,"[[0,0,1,0],[0,1,1,1],[0,0,1,0]]",0,0.09116077839697728
level1_no_side_info,18,"[[0,0,1,0],[0,1,1,1],[0,0,1,0]]",1,0.18904992830644018
level1_no_side_info,18,"[[0,0,1,0],[0,1,1,1],[0,0,1,0]]",2,0.2524638005059724
level1_no_side_info,18,"[[0,0,1,0],[0,1,1,1],[0,0,1,0]]",4,0.32818826165444615
level1_no_side_info,18,"[[0,0,1,0],[0,1,1,1],[0,0,1,0]]",8,0.39529450909261066
level1_no_side_info,18,"[[0,0,1,0],[0,1,1,1],[0,0,1,0]]",16,0.437889587382303
level1_no_side_info,18,"[[0,0,1,0],[0,1,1,1],[0,0,1,0]]",32,0.4591604014488582
level1_no_side_info,19,"[[0,0,1,0],[0,1,1,0],[0,0,1,0]]",0,0.12770640594149768
level1_no_side_info,19,"[[0,0,1,0],[0,1,1,0],[0,0,1,0]]",1,0.17222110816970532
level1_no_side_info,19,"[[0,0,1,0],[0,1,1,0],[0,0,1,0]]",2,0.20360163585391394
level1_no_side_info,19,"[[0,0,1,0],[0,1,1,0],[0,0,1,0]]",4,0.2440316041880231
level1_no_side_info,19,"[[0,0,1,0],[0,1,1,0],[0,0,1,0]]",8,0.28388886305216804
level1_no_side_info,19,"[[0,0,1,0],[0,1,1,0],[0,0,1,0]]",16,0.31299829146016844
level1_no_side_info,19,"[[0,0,1,0],[0,1,1,0],[0,0,1,0]]",32,0.3297837175269643
level1_no_side_info,20,"[[0,0,1,0],[0,1,0,1],[1,1,0,1]]",0,0.12770640594149768
level1_no_side_info,20,"[[0,0,1,0],[0,1,0,1],[1,1,0,1]]",1,0.17222110816970532
level1_no_side_info,20,"[[0,0,1,0],[0,1,0,1],[1,1,0,1]]",2,0.20360163585391394
level1_no_side_info,20,"[[0,0,1,0],[0,1,0,1],[1,1,0,1]]",4,0.2440316041880231
level1_no_side_info,20,"[[0,0,1,0],[0,1,0,1],[1,1,0,1]]",8,0.28388886305216804
level1_no_side_info,20,"[[0,0,1,0],[0,1,0,1],[1,1,0,1]]",16,0.31299829146016844
level1_no_side_info,20,"[[0,0,1,0],[0,1,0,1],[1,1,0,1]]",32,0.3297837175269643
level1_no_side_info,21,"[[0,0,1,0],[0,1,0,0],[1,1,0,1]]",0,0.09116077839697728
level1_no_side_info,21,"[[0,0,1,0],[0,1,0,0],[1,1,0,1]]",1,0.18904992830644018
level1_no_side_info,21,"[[0,0,1,0],[0,1,0,0],[1,1,0,1]]",2,0.2524638005059724
level1_no_side_info,21,"[[0,0,1,0],[0,1,0,0],[1,1,0,1]]",4,0.32818826165444615
level1_no_side_info,21,"[[0,0,1,0],[0,1,0,0],[1,1,0,1]]",8,0.39529450909261066
level1_no_side_info,21,"[[0,0,1,0],[0,1,0,0],[1,1,0,1]]",16,0.437889587382303
level1_no_side_info,21,"[[0,0,1,0],[0,1,0,0],[1,1,0,1]]",32,0.4591604014488582
level1_no_side_info,22,"[[0,0,1,0],[0,0,1,1],[0,0,1,0]]",0,0.12770640594149762
level1_no_side_info,22,"[[0,0,1,0],[0,0,1,1],[0,0,1,0]]",1,0.17222110816970537
level1_no_side_info,22,"[[0,0,1,0],[0,0,1,1],[0,0,1,0]]",2,0.20360163585391394
level1_no_side_info,22,"[[0,0,1,0],[0,0,1,1],[0,0,1,0]]",4,0.2440316041880231
level1_no_side_info,22,"[[0,0,1,0],[0,0,1,1],[0,0,1,0]]",8,0.283888863052168
level1_no_side_info,22,"[[0,0,1,0],[0,0,1,1],[0,0,1,0]]",16,0.31299829146016844
level1_no_side_info,22,"[[0,0,1,0],[0,0,1,1],[0,0,1,0]]",32,0.3297837175269643
level1_no_side_info,23,"[[0,0,1,0],[0,0,0,1],[1,1,0,1]]",0,0.09116077839697728
level1_no_side_info,23,"[[0,0,1,0],[0,0,0,1],[1,1,0,1]]",1,0.18904992830644018
level1_no_side_info,23,"[[0,0,1,0],[0,0,0,1],[1,1,0,1]]",2,0.2524638005059724
level1_no_side_info,23,"[[0,0,1,0],[0,0,0,1],[1,1,0,1]]",4,0.32818826165444626
level1_no_side_info,23,"[[0,0,1,0],[0,0,0,1],[1,1,0,1]]",8,0.39529450909261055
level1_no_side_info,23,"[[0,0,1,0],[0,0,0,1],[1,1,0,1]]",16,0.437889587382303
level1_no_side_info,23,"[[0,0,1,0],[0,0,0,1],[1,1,0,1]]",32,0.4591604014488582
level1_no_side_info,24,"[[0,0,1,1],[0,1,0,1],[0,0,0,1]]",0,0.0
level1_no_side_info,24,"[[0,0,1,1],[0,1,0,1],[0,0,0,1]]",1,0.054707760681101614
level1_no_side_info,24,"[[0,0,1,1],[0,1,0,1],[0,0,0,1]]",2,0.08724306990352426
level1_no_side_info,24,"[[0,0,1,1],[0,1,0,1],[0,0,0,1]]",4,0.12413388205086084
level1_no_side_info,24,"[[0,0,1,1],[0,1,0,1],[0,0,0,1]]",8,0.15831484826451048
level1_no_side_info,24,"[[0,0,1,1],[0,1,0,1],[0,0,0,1]]",16,0.18395072533629997
level1_no_side_info,24,"[[0,0,1,1],[0,1,0,1],[0,0,0,1]]",32,0.19944959606350665
level1_no_side_info,25,"[[0,0,1,1],[0,1,0,1],[0,0,1,0]]",0,0.0
level1_no_side_info,25,"[[0,0,1,1],[0,1,0,1],[0,0,1,0]]",1,0.054707760681101614
level1_no_side_info,25,"[[0,0,1,1],[0,1,0,1],[0,0,1,0]]",2,0.08724306990352437
level1_no_side_info,25,"[[0,0,1,1],[0,1,0,1],[0,0,1,0]]",4,0.12413388205086084
level1_no_side_info,25,"[[0,0,1,1],[0,1,0,1],[0,0,1,0]]",8,0.15831484826451048
level1_no_side_info,25,"[[0,0,1,1],[0,1,0,1],[0,0,1,0]]",16,0.18395072533629997
level1_no_side_info,25,"[[0,0,1,1],[0,1,0,1],[0,0,1,0]]",32,0.19944959606350665
level1_no_side_info,26,"[[0,0,1,1],[0,1,0,1],[0,0,1,1]]",0,0.0
level1_no_side_info,26,"[[0,0,1,1],[0,1,0,1],[0,0,1,1]]",1,0.21907019637983866
level1_no_side_info,26,"[[0,0,1,1],[0,1,0,1],[0,0,1,1]]",2,0.34544943238999826
level1_no_side_info,26,"[[0,0,1,1],[0,1,0,1],[0,0,1,1]]",4,0.474279980271518
level1_no_side_info,26,"[[0,0,1,1],[0,1,0,1],[0,0,1,1]]",8,0.5715124137779335
level1_no_side_info,26,"[[0,0,1,1],[0,1,0,1],[0,0,1,1]]",16,0.6301021501664625
level1_no_side_info,26,"[[0,0,1,1],[0,1,0,1],[0,0,1,1]]",32,0.6614036248289012
level1_no_side_info,27,"[[0,0,1,1],[0,1,0,1],[0,1,0,0]]",0,0.0
